ZAgrEc,modelo,year,time,month,somsc,agcacc,C/mes,MS/MES,Prod MS
Areniscas,daycent,1915,1916,DEC,,122.7,,,
Areniscas,daycent,1916,1916.08,ENE,5537,129.9,7.2,160,2886
Areniscas,daycent,1916,1916.17,FEB,5540,169.8,39.9,888,3773
Areniscas,daycent,1916,1916.25,MAR,5538,214.2,44.4,987,4760
Areniscas,daycent,1916,1916.33,ABR,5535,253.7,39.5,878,5638
Areniscas,daycent,1916,1916.42,MAY,5532,281.2,27.5,611,6249
Areniscas,daycent,1916,1916.5,JUN,5530,2,2,45,45
Areniscas,daycent,1916,1916.58,JUL,5529,3.9,1.8,41,86
Areniscas,daycent,1916,1916.67,AGO,5527,15.4,11.5,256,342
Areniscas,daycent,1916,1916.75,SET,5526,48.6,33.2,738,1081
Areniscas,daycent,1916,1916.83,OCT,5526,64.3,15.6,348,1428
Areniscas,daycent,1916,1916.92,NOV,5525,106.2,42,932,2361
Areniscas,daycent,1916,1917,DIC,5526,124.6,18.4,408,2769
Areniscas,daycent,1917,1917.08,ENE,5527,135.4,10.8,240,3009
Areniscas,daycent,1917,1917.17,FEB,5527,145.5,10.1,224,3233
Areniscas,daycent,1917,1917.25,MAR,5526,156.2,10.8,240,3472
Areniscas,daycent,1917,1917.33,ABR,5525,166.7,10.4,232,3704
Areniscas,daycent,1917,1917.42,MAY,5525,177.5,10.8,240,3944
Areniscas,daycent,1917,1917.5,JUN,5523,1.3,1.3,29,29
Areniscas,daycent,1917,1917.58,JUL,5522,5.4,4.1,90,119
Areniscas,daycent,1917,1917.67,AGO,5520,7.4,2,45,165
Areniscas,daycent,1917,1917.75,SET,5518,33.4,26,577,742
Areniscas,daycent,1917,1917.83,OCT,5514,54.4,21,467,1210
Areniscas,daycent,1917,1917.92,NOV,5512,69.5,15.1,335,1544
Areniscas,daycent,1917,1918,DIC,5513,77.8,8.3,184,1728
Areniscas,daycent,1918,1918.08,ENE,5513,118.7,40.9,910,2638
Areniscas,daycent,1918,1918.17,FEB,5513,159.9,41.2,915,3553
Areniscas,daycent,1918,1918.25,MAR,5514,187.4,27.6,613,4166
Areniscas,daycent,1918,1918.33,ABR,5513,210.3,22.9,509,4674
Areniscas,daycent,1918,1918.42,MAY,5511,213.1,2.7,60,4735
Areniscas,daycent,1918,1918.5,JUN,5509,7.6,7.6,170,170
Areniscas,daycent,1918,1918.58,JUL,5508,9.7,2,45,215
Areniscas,daycent,1918,1918.67,AGO,5507,28.4,18.7,416,630
Areniscas,daycent,1918,1918.75,SET,5506,65,36.7,815,1445
Areniscas,daycent,1918,1918.83,OCT,5506,93.9,28.8,641,2086
Areniscas,daycent,1918,1918.92,NOV,5507,134.1,40.2,894,2980
Areniscas,daycent,1918,1919,DIC,5509,168.2,34.1,758,3738
Areniscas,daycent,1919,1919.08,ENE,5507,192,23.8,530,4267
Areniscas,daycent,1919,1919.17,FEB,5505,217.1,25.1,557,4825
Areniscas,daycent,1919,1919.25,MAR,5501,245.3,28.2,626,5451
Areniscas,daycent,1919,1919.33,ABR,5501,280.3,35,778,6228
Areniscas,daycent,1919,1919.42,MAY,5502,310.7,30.5,677,6905
Areniscas,daycent,1919,1919.5,JUN,5501,1.9,1.9,42,42
Areniscas,daycent,1919,1919.58,JUL,5500,4,2.1,46,88
Areniscas,daycent,1919,1919.67,AGO,5498,22,18,400,488
Areniscas,daycent,1919,1919.75,SET,5497,50.1,28.1,625,1114
Areniscas,daycent,1919,1919.83,OCT,5496,65.5,15.4,342,1456
Areniscas,daycent,1919,1919.92,NOV,5496,82.4,16.9,376,1832
