ZAgrEc,Modelo,Estacion,OBS
BasaltoProfundo,Observed,OTONO,612
BasaltoProfundo,Observed,INVIERNO,306
BasaltoProfundo,Observed,PRIMAVERA,1887
BasaltoProfundo,Observed,VERANO,2295
BasaltoProfundo,BERRETA FAO,OTONO,673
BasaltoProfundo,BERRETA FAO,INVIERNO,355
BasaltoProfundo,BERRETA FAO,PRIMAVERA,1811
BasaltoProfundo,BERRETA FAO,VERANO,2503
Areniscas,Observed,OTONO,612
Areniscas,Observed,INVIERNO,306
Areniscas,Observed,PRIMAVERA,1887
Areniscas,Observed,VERANO,2295
Areniscas,BERRETA FAO,OTONO,673
Areniscas,BERRETA FAO,INVIERNO,355
Areniscas,BERRETA FAO,PRIMAVERA,1811
Areniscas,BERRETA FAO,VERANO,2503
CristalinoCentro,Observed,OTONO,943
CristalinoCentro,Observed,INVIERNO,533
CristalinoCentro,Observed,PRIMAVERA,1435
CristalinoCentro,Observed,VERANO,1189
CristalinoCentro,BERRETA FAO,OTONO,782.6
CristalinoCentro,BERRETA FAO,INVIERNO,591.5
CristalinoCentro,BERRETA FAO,PRIMAVERA,1547
CristalinoCentro,BERRETA FAO,VERANO,1192.1
BasaltoSuperficial,Observed,OTONO,693
BasaltoSuperficial,Observed,INVIERNO,495
BasaltoSuperficial,Observed,PRIMAVERA,1056
BasaltoSuperficial,Observed,VERANO,1056
BasaltoSuperficial,BERRETA FAO_Rojo,OTONO,619
BasaltoSuperficial,BERRETA FAO_Rojo,INVIERNO,446
BasaltoSuperficial,BERRETA FAO_Rojo,PRIMAVERA,901
BasaltoSuperficial,BERRETA FAO_Rojo,VERANO,919
BasaltoSuperficial,BERRETA FAO_Negro,OTONO,801
BasaltoSuperficial,BERRETA FAO_Negro,INVIERNO,555
BasaltoSuperficial,BERRETA FAO_Negro,PRIMAVERA,1183
BasaltoSuperficial,BERRETA FAO_Negro,VERANO,1238
BasaltoSuperficial,BERRETA FAO,OTONO,710
BasaltoSuperficial,BERRETA FAO,INVIERNO,501
BasaltoSuperficial,BERRETA FAO,PRIMAVERA,1042
BasaltoSuperficial,BERRETA FAO,VERANO,1078
Litoral,Observed,OTONO,1012
Litoral,Observed,INVIERNO,598
Litoral,Observed,PRIMAVERA,1656
Litoral,Observed,VERANO,1334
Litoral,BERRETA FAO,OTONO,1317
Litoral,BERRETA FAO,INVIERNO,358
Litoral,BERRETA FAO,PRIMAVERA,1424
Litoral,BERRETA FAO,VERANO,1556
Llanensedeleste,Observed,OTONO,950
Llanensedeleste,Observed,INVIERNO,300
Llanensedeleste,Observed,PRIMAVERA,1102
Llanensedeleste,Observed,VERANO,1558
Noreste,Observed,OTONO,588
Noreste,Observed,INVIERNO,334
Noreste,Observed,PRIMAVERA,1191
Noreste,Observed,VERANO,1197
Noreste,BERRETA FAO,OTONO,673
Noreste,BERRETA FAO,INVIERNO,355
Noreste,BERRETA FAO,PRIMAVERA,1811
Noreste,BERRETA FAO,VERANO,2503
SedimentoSur,Observed,OTONO,1012
SedimentoSur,Observed,INVIERNO,598
SedimentoSur,Observed,PRIMAVERA,1656
SedimentoSur,Observed,VERANO,1334
SedimentoSur,BERRETA FAO,OTONO,1317
SedimentoSur,BERRETA FAO,INVIERNO,358
SedimentoSur,BERRETA FAO,PRIMAVERA,1424
SedimentoSur,BERRETA FAO,VERANO,1556
Sierrasdeleste,Observed,OTONO,567
Sierrasdeleste,Observed,INVIERNO,105
Sierrasdeleste,Observed,PRIMAVERA,546
Sierrasdeleste,Observed,VERANO,882
Sierrasdeleste,BERRETA FAO,OTONO,573
Sierrasdeleste,BERRETA FAO,INVIERNO,100
Sierrasdeleste,BERRETA FAO,PRIMAVERA,546
Sierrasdeleste,BERRETA FAO,VERANO,874
ColyLomdeE,Observed,OTONO,895
ColyLomdeE,Observed,INVIERNO,389
ColyLomdeE,Observed,PRIMAVERA,1116
ColyLomdeE,Observed,VERANO,1325
