"","ZAgrEc","Modelo","Estacion","Perc_005","Perc_01","Perc_025","Perc_05","Perc_075","Perc_09","Perc_095","calculo"
"1","Areniscas","daycent","INVIERNO",169.25,215,299.5,476.5,613.25,742.5,925.25,"dicenefebr"
"2","Areniscas","daycent","OTONO",380.25,580,807.5,1163,1385.75,1610,1740.5,"dicenefebr"
"3","Areniscas","daycent","PRIMAVERA",1063.5,1373,1667.75,2000,2339,2535,2628.75,"dicenefebr"
"4","Areniscas","daycent","VERANO",767.9,875,1200,1845,2323.5,2629,3007.5,"dicenefebr"
"5","BasaltoProfundo","daycent","INVIERNO",389.75,434,572,705.5,800.75,883,936,"dicenefebr"
"6","BasaltoProfundo","daycent","OTONO",336.5,415,634.25,987,1111.25,1214.5,1347,"dicenefebr"
"7","BasaltoProfundo","daycent","PRIMAVERA",999.5,1185,1447.25,1737,2000.25,2151.5,2269.25,"dicenefebr"
"8","BasaltoProfundo","daycent","VERANO",509.9,636,880.5,1362,1773.5,2141.2,2326.6,"dicenefebr"
"9","BasaltoSuperficial","daycent","INVIERNO",129.75,168,281.5,453.5,599,747,887,"dicenefebr"
"10","BasaltoSuperficial","daycent","OTONO",308,497,699.5,897.5,1116.75,1369,1685,"dicenefebr"
"11","BasaltoSuperficial","daycent","PRIMAVERA",717.5,880,1113,1294,1613.5,1797,1931.75,"dicenefebr"
"12","BasaltoSuperficial","daycent","VERANO",490.7,718.6,1082.5,1359,1598.5,1836.2,1985.2,"dicenefebr"
"13","ColyLomdeE","daycent","INVIERNO",256.25,302,383.5,527,660.75,761,801,"dicenefebr"
"14","ColyLomdeE","daycent","OTONO",413,582.5,674.5,843,946.5,1021,1048.25,"dicenefebr"
"15","ColyLomdeE","daycent","PRIMAVERA",931.5,1045,1224.75,1468,1605.25,1700,1749.75,"dicenefebr"
"16","ColyLomdeE","daycent","VERANO",354.4,612.2,833,1157,1447.5,1602.6,1721.7,"dicenefebr"
"17","CristalinoCentro","daycent","INVIERNO",423.25,487.5,599.75,724.5,826.75,895,989.25,"dicenefebr"
"18","CristalinoCentro","daycent","OTONO",611.25,664.5,769.25,916,1030,1139,1224.5,"dicenefebr"
"19","CristalinoCentro","daycent","PRIMAVERA",1003.5,1133.5,1338.75,1481.5,1625.5,1779,1834,"dicenefebr"
"20","CristalinoCentro","daycent","VERANO",722.2,857,1132.5,1368,1542.5,1700.8,1806.9,"dicenefebr"
"21","Litoral","daycent","INVIERNO",384.5,420,533,657.5,742.75,815,897.75,"dicenefebr"
"22","Litoral","daycent","OTONO",465.25,579,734,963,1086.75,1152.5,1355.5,"dicenefebr"
"23","Litoral","daycent","PRIMAVERA",1169,1319.5,1665.75,1815.5,1981.25,2119,2188.25,"dicenefebr"
"24","Litoral","daycent","VERANO",613.6,810.2,1121.5,1542,1968,2269,2355.9,"dicenefebr"
"25","Llanensedeleste","daycent","INVIERNO",116.5,146,211.75,324.5,407,523.5,623,"dicenefebr"
"26","Llanensedeleste","daycent","OTONO",291.5,402.5,595.75,835,989.5,1143.5,1231.25,"dicenefebr"
"27","Llanensedeleste","daycent","PRIMAVERA",812.5,1052.5,1276.75,1565.5,1825.25,1960.5,2052.25,"dicenefebr"
"28","Llanensedeleste","daycent","VERANO",565.8,631,873.5,1427,1797,2018.8,2198.1,"dicenefebr"
"29","Noreste","daycent","INVIERNO",237.75,292,386.75,505.5,585.75,689.5,778.75,"dicenefebr"
"30","Noreste","daycent","OTONO",207,321,603.5,848.5,1010,1137,1178.5,"dicenefebr"
"31","Noreste","daycent","PRIMAVERA",668.5,936.5,1130.75,1442.5,1658.5,1799.5,1862.75,"dicenefebr"
"32","Noreste","daycent","VERANO",397.4,505.2,821.5,1234,1586.5,1762,1924.7,"dicenefebr"
"33","SedimentoSur","daycent","INVIERNO",105.75,131.5,193.75,278,365.25,460,548.75,"dicenefebr"
"34","SedimentoSur","daycent","OTONO",407.5,446.5,638.25,827,1027.75,1151.5,1265,"dicenefebr"
"35","SedimentoSur","daycent","PRIMAVERA",935,1102,1401,1651,1905.75,2064,2146,"dicenefebr"
"36","SedimentoSur","daycent","VERANO",661.2,864.6,1309.5,1955,2562,2910.6,3112.3,"dicenefebr"
"37","Sierrasdeleste","daycent","INVIERNO",62.25,80,164.5,288.5,410.25,506.5,587.5,"dicenefebr"
"38","Sierrasdeleste","daycent","OTONO",107.75,225.5,426,547,714,890,1047.25,"dicenefebr"
"39","Sierrasdeleste","daycent","PRIMAVERA",386.25,508.5,705.5,866,1084.75,1293,1377.75,"dicenefebr"
"40","Sierrasdeleste","daycent","VERANO",221.2,408.4,630.5,838,1039.5,1230.8,1338.9,"dicenefebr"
